task_started,object_available,gripper_width_cm,distance_ee_object_cm,grasp_completed,finger_contacts,grasp_attempts,object_lift_height_cm,distance_object_goal_cm,task_aborted,action,current_subtask,anticipated_scenario,SAT
1,1,7,28,0,0,0,0,40,0,,APPROACH_OBJECT,,
1,1,7,25,0,0,0,0,40,0,,APPROACH_OBJECT,,
1,1,7,22,0,0,0,0,40,0,,APPROACH_OBJECT,,
1,1,7,19,0,0,0,0,40,0,,APPROACH_OBJECT,,
1,1,7,16,0,0,0,0,40,0,,APPROACH_OBJECT,,
1,1,7,13,0,0,0,0,40,0,,APPROACH_OBJECT,,
1,1,7,11,0,0,0,0,40,0,,APPROACH_OBJECT,,
1,1,7,9,0,0,0,0,40,0,,APPROACH_OBJECT,,
1,1,7,9,0,0,0,0,40,0,,APPROACH_OBJECT,,
1,1,7,8,0,0,0,0,40,0,,APPROACH_OBJECT,,
1,1,7,4,0,0,0,0,40,0,,APPROACH_OBJECT,,
1,1,7,1,0,0,0,0,40,0,,APPROACH_OBJECT,,
1,1,7,0,0,0,0,0,40,0,,APPROACH_OBJECT,,
1,1,3,0,1,2,1,0,39,0,approach_object,GRASP_OBJECT,APPROACH_OBJECT,True
1,1,3,0,1,2,1,0,39,0,,GRASP_OBJECT,,
1,1,3,0,1,2,1,1,41,0,close_gripper,LIFT_OBJECT,GRASP_OBJECT,True
1,1,3,0,1,2,1,4,41,0,,LIFT_OBJECT,,
1,1,3,0,1,2,1,7,40,0,,LIFT_OBJECT,,
1,1,3,0,1,2,1,10,40,0,,LIFT_OBJECT,,
1,1,3,0,1,2,1,13,40,0,,LIFT_OBJECT,,
1,1,3,0,1,2,1,16,39,0,,LIFT_OBJECT,,
1,1,3,0,1,2,1,15,39,0,,LIFT_OBJECT,,
1,1,3,0,1,2,1,12,38,0,lift_object,TRANSPORT_OBJECT,LIFT_OBJECT,True
1,1,3,0,1,2,1,12,35,0,,TRANSPORT_OBJECT,,
1,1,3,0,1,2,1,12,31,0,,TRANSPORT_OBJECT,,
1,1,3,0,1,2,1,13,28,0,,TRANSPORT_OBJECT,,
1,1,3,0,1,2,1,13,25,0,,TRANSPORT_OBJECT,,
1,1,3,0,1,2,1,13,22,0,,TRANSPORT_OBJECT,,
1,1,4,0,1,2,1,12,18,0,,TRANSPORT_OBJECT,,
1,1,4,0,1,2,1,12,15,0,,TRANSPORT_OBJECT,,
1,1,4,0,1,2,1,12,13,0,,TRANSPORT_OBJECT,,
1,1,4,0,1,2,1,12,10,0,,TRANSPORT_OBJECT,,
1,1,4,0,1,2,1,12,8,0,,TRANSPORT_OBJECT,,
1,1,4,0,1,2,1,13,5,0,,TRANSPORT_OBJECT,,
1,1,4,0,1,2,1,14,3,0,,TRANSPORT_OBJECT,,
1,1,4,0,1,2,1,15,2,0,,TRANSPORT_OBJECT,,
1,1,4,0,1,2,1,16,1,0,,TRANSPORT_OBJECT,,
1,1,4,0,1,2,1,16,1,0,,TRANSPORT_OBJECT,,
1,1,4,0,1,2,1,15,1,0,transport_to_goal,PLACE_OBJECT,TRANSPORT_OBJECT,True
1,1,4,0,1,2,1,14,1,0,,PLACE_OBJECT,,
1,1,4,0,1,2,1,14,1,0,,PLACE_OBJECT,,
1,1,4,0,1,2,1,13,1,0,,PLACE_OBJECT,,
1,1,4,0,1,2,1,12,1,0,,PLACE_OBJECT,,
1,1,4,0,1,2,1,11,1,0,,PLACE_OBJECT,,
1,1,4,0,1,2,1,10,1,0,,PLACE_OBJECT,,
1,1,4,0,1,2,1,10,1,0,,PLACE_OBJECT,,
1,1,4,0,1,2,1,9,1,0,,PLACE_OBJECT,,
1,1,4,0,1,2,1,8,1,0,,PLACE_OBJECT,,
1,1,4,0,1,2,1,7,1,0,,PLACE_OBJECT,,
1,1,4,0,1,2,1,6,1,0,,PLACE_OBJECT,,
1,1,4,0,1,2,1,6,1,0,,PLACE_OBJECT,,
1,1,4,0,1,2,1,5,1,0,,PLACE_OBJECT,,
1,1,4,0,1,2,1,4,1,0,,PLACE_OBJECT,,
1,1,4,0,1,2,1,3,1,0,,PLACE_OBJECT,,
1,1,4,0,1,2,1,3,1,0,,PLACE_OBJECT,,
1,1,4,0,1,2,1,2,1,0,,PLACE_OBJECT,,
1,1,4,0,1,2,1,1,1,0,,PLACE_OBJECT,,
1,1,4,0,1,2,1,1,1,0,,PLACE_OBJECT,,
1,1,4,0,1,2,1,1,1,0,,PLACE_OBJECT,,
1,1,4,0,1,2,1,0,1,0,,PLACE_OBJECT,,
1,1,4,0,1,2,1,0,1,0,,PLACE_OBJECT,,
1,1,4,0,1,2,1,0,1,0,,PLACE_OBJECT,,
1,1,4,0,1,2,1,0,1,0,,PLACE_OBJECT,,
1,1,7,0,0,0,1,0,1,0,,PLACE_OBJECT,,
1,1,7,0,0,0,1,0,1,0,,PLACE_OBJECT,,
1,1,7,0,0,0,1,0,1,0,,PLACE_OBJECT,,
1,1,7,0,0,0,1,0,1,0,,PLACE_OBJECT,,
1,1,7,0,0,0,1,0,1,0,,PLACE_OBJECT,,
1,1,7,0,0,0,1,0,1,0,place_object,PLACE_OBJECT,PLACE_OBJECT,True
