experiment_id,desired_scenario,rank,candidate_scenario,adaptive_behavior,final_similarity,is_reference_candidate
A0,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A0_baseline_full_context,1,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.9763888888888889,True
A0,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A0_baseline_full_context,2,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.896551724137931,False
A0,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A0_baseline_full_context,3,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.8658474142345108,False
A0,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A0_baseline_full_context,4,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.7312503206291591,False
A0,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A0_baseline_full_context,5,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.6149425287356322,False
A0,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A0_baseline_full_context,6,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0.5,False
A0,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A0_baseline_full_context,7,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0.3333333333333333,False
A1,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A1_omit_friction,1,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),1.0,False
A1,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A1_omit_friction,2,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.9841269841269842,True
A1,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A1_omit_friction,3,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.9538239538239539,False
A1,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A1_omit_friction,4,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.834698596491228,False
