desired_scenario,given,category,height_op,height_value,contacts_op,contacts_value,friction_op,friction_value,top1_candidate_name,top1_is_reference,is_exact_tie_at_top,margin_signed
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C01_F01,object_lift_height_cm < 5 AND finger_contacts < 1 AND lateral_friction <= 0.100,Threshold-only,<,5.0,<,1.0,<=,0.1,Lift Slip — Low Friction Surface,True,False,0.07716
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C01_F02,object_lift_height_cm < 5 AND finger_contacts < 1 AND lateral_friction <= 0.300,Threshold-only,<,5.0,<,1.0,<=,0.3,Lift Slip — Low Friction Surface,True,False,0.13271555555555548
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C01_F03,object_lift_height_cm < 5 AND finger_contacts < 1 AND lateral_friction <= 0.315,Threshold-only,<,5.0,<,1.0,<=,0.315,Lift Slip — Low Friction Surface,True,False,0.13688222222222224
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C01_F04,object_lift_height_cm < 5 AND finger_contacts < 1 AND lateral_friction <= 0.330,Threshold-only,<,5.0,<,1.0,<=,0.33,Lift Slip — Low Friction Surface,True,False,0.141048888888889
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C01_F05,object_lift_height_cm < 5 AND finger_contacts < 1 AND lateral_friction <= 0.400,Threshold-only,<,5.0,<,1.0,<=,0.4,Lift Slip — Low Friction Surface,True,False,0.16049333333333338
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C01_F06,object_lift_height_cm < 5 AND finger_contacts < 1 AND lateral_friction <= 0.500,Threshold-only,<,5.0,<,1.0,<=,0.5,Lift Slip — Low Friction Surface,True,False,0.138271111111111
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C01_F07,object_lift_height_cm < 5 AND finger_contacts < 1 AND lateral_friction <= 1.000,Threshold-only,<,5.0,<,1.0,<=,1.0,Lift Slip — Low Friction Surface,True,False,0.09382666666666672
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C01_F08,object_lift_height_cm < 5 AND finger_contacts < 1 AND lateral_friction >= 0.315,Combined,<,5.0,<,1.0,>=,0.315,Lift Slip — Low Friction Surface,True,False,0.05410444444444451
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C01_F09,object_lift_height_cm < 5 AND finger_contacts < 1 AND lateral_friction >= 0.500,Combined,<,5.0,<,1.0,>=,0.5,Lift Slip — Low Friction Surface,True,False,0.049382222222222216
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C01_F10,object_lift_height_cm < 5 AND finger_contacts < 1 AND lateral_friction >= 1.000,Combined,<,5.0,<,1.0,>=,1.0,Lift Slip — Low Friction Surface,True,False,0.049382222222222216
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C02_F01,object_lift_height_cm < 5 AND finger_contacts < 2 AND lateral_friction <= 0.100,Threshold-only,<,5.0,<,2.0,<=,0.1,Lift Slip — Low Friction Surface,True,False,0.05097938697318005
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C02_F02,object_lift_height_cm < 5 AND finger_contacts < 2 AND lateral_friction <= 0.300,Threshold-only,<,5.0,<,2.0,<=,0.3,Lift Slip — Low Friction Surface,True,False,0.10653494252873552
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C02_F03,object_lift_height_cm < 5 AND finger_contacts < 2 AND lateral_friction <= 0.315,Threshold-only,<,5.0,<,2.0,<=,0.315,Lift Slip — Low Friction Surface,True,False,0.11070160919540228
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C02_F04,object_lift_height_cm < 5 AND finger_contacts < 2 AND lateral_friction <= 0.330,Threshold-only,<,5.0,<,2.0,<=,0.33,Lift Slip — Low Friction Surface,True,False,0.11486827586206882
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C02_F05,object_lift_height_cm < 5 AND finger_contacts < 2 AND lateral_friction <= 0.400,Threshold-only,<,5.0,<,2.0,<=,0.4,Lift Slip — Low Friction Surface,True,False,0.13431272030651342
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C02_F06,object_lift_height_cm < 5 AND finger_contacts < 2 AND lateral_friction <= 0.500,Threshold-only,<,5.0,<,2.0,<=,0.5,Lift Slip — Low Friction Surface,True,False,0.11209049808429106
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C02_F07,object_lift_height_cm < 5 AND finger_contacts < 2 AND lateral_friction <= 1.000,Threshold-only,<,5.0,<,2.0,<=,1.0,Lift Slip — Low Friction Surface,True,False,0.06764605363984666
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C02_F08,object_lift_height_cm < 5 AND finger_contacts < 2 AND lateral_friction >= 0.315,Combined,<,5.0,<,2.0,>=,0.315,Lift Slip — Low Friction Surface,True,False,0.027923831417624445
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C02_F09,object_lift_height_cm < 5 AND finger_contacts < 2 AND lateral_friction >= 0.500,Combined,<,5.0,<,2.0,>=,0.5,Lift Slip — Low Friction Surface,True,False,0.023201609195402262
