experiment_id,desired_scenario,description,candidate_scenario,adaptive_behavior,given_similarity,when_similarity,then_similarity,given_parametric_similarity,given_structural_similarity,given_structural_penalty,given_shared_params,given_missing_in_candidate,given_extra_in_candidate,when_parametric_similarity,when_structural_penalty,then_parametric_similarity,then_structural_penalty,final_similarity
A0,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A0_baseline_full_context,baseline full context,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.9291666666666667,1.0,1.0,0.9291666666666667,1.0,0.0,object_lift_height_cm;finger_contacts;lateral_friction,,,1.0,0.0,1.0,0.0,0.9763888888888889
A0,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A0_baseline_full_context,baseline full context,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.6896551724137931,1.0,1.0,1.0,0.6896551724137931,0.31034482758620685,object_lift_height_cm;finger_contacts,lateral_friction,,1.0,0.0,1.0,0.0,0.896551724137931
A0,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A0_baseline_full_context,baseline full context,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.6451612903225806,1.0,0.9523809523809523,1.0,0.6451612903225806,0.3548387096774194,object_lift_height_cm;finger_contacts,lateral_friction,objects_object_1_mass;joint_torque,1.0,0.0,1.0,0.04761904761904767,0.8658474142345108
A0,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A0_baseline_full_context,baseline full context,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.6896551724137931,1.0,0.5040957894736842,1.0,0.6896551724137931,0.31034482758620685,object_lift_height_cm;finger_contacts,lateral_friction,,1.0,0.0,0.97778,0.4736842105263158,0.7312503206291591
A0,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A0_baseline_full_context,baseline full context,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.3448275862068966,1.0,0.5,1.0,0.3448275862068966,0.6551724137931034,object_lift_height_cm,finger_contacts;lateral_friction,grip_pressure,1.0,0.0,1.0,0.5,0.6149425287356322
A0,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A0_baseline_full_context,baseline full context,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0,1.0,0.5,0.0,0.0,1.0,,object_lift_height_cm;finger_contacts;lateral_friction,joint_torque;motor_temperature,1.0,0.0,1.0,0.5,0.5
A0,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A0_baseline_full_context,baseline full context,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0,1.0,0,0.0,0.0,1.0,,object_lift_height_cm;finger_contacts;lateral_friction,vacuum_level;ambient_temperature,1.0,0.0,0.0,1.0,0.3333333333333333
A1,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A1_omit_friction,omit friction,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),1.0,1.0,1.0,1.0,1.0,0.0,object_lift_height_cm;finger_contacts,,,1.0,0.0,1.0,0.0,1.0
A1,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A1_omit_friction,omit friction,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.9523809523809523,1.0,1.0,1.0,0.9523809523809523,0.04761904761904767,object_lift_height_cm;finger_contacts,,lateral_friction,1.0,0.0,1.0,0.0,0.9841269841269842
A1,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A1_omit_friction,omit friction,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.9090909090909091,1.0,0.9523809523809523,1.0,0.9090909090909091,0.09090909090909094,object_lift_height_cm;finger_contacts,,objects_object_1_mass;joint_torque,1.0,0.0,1.0,0.04761904761904767,0.9538239538239539
A1,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A1_omit_friction,omit friction,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),1.0,1.0,0.5040957894736842,1.0,1.0,0.0,object_lift_height_cm;finger_contacts,,,1.0,0.0,0.97778,0.4736842105263158,0.834698596491228
A1,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A1_omit_friction,omit friction,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.5,1.0,0.5,1.0,0.5,0.5,object_lift_height_cm,finger_contacts,grip_pressure,1.0,0.0,1.0,0.5,0.6666666666666666
A1,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A1_omit_friction,omit friction,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0,1.0,0.5,0.0,0.0,1.0,,object_lift_height_cm;finger_contacts,joint_torque;motor_temperature,1.0,0.0,1.0,0.5,0.5
A1,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A1_omit_friction,omit friction,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0,1.0,0,0.0,0.0,1.0,,object_lift_height_cm;finger_contacts,vacuum_level;ambient_temperature,1.0,0.0,0.0,1.0,0.3333333333333333
A2,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A2_omit_contacts,omit contacts,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.8461309523809524,1.0,1.0,0.89375,0.9523809523809523,0.04761904761904767,object_lift_height_cm;lateral_friction,,finger_contacts,1.0,0.0,1.0,0.0,0.9487103174603174
A2,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A2_omit_contacts,omit contacts,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.5,1.0,1.0,1.0,0.5,0.5,object_lift_height_cm,lateral_friction,finger_contacts,1.0,0.0,1.0,0.0,0.8333333333333334
A2,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A2_omit_contacts,omit contacts,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.4545454545454546,1.0,0.9523809523809523,1.0,0.45454545454545453,0.5454545454545454,object_lift_height_cm,lateral_friction,objects_object_1_mass;finger_contacts;joint_torque,1.0,0.0,1.0,0.04761904761904767,0.8023088023088022
A2,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A2_omit_contacts,omit contacts,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.5,1.0,0.5040957894736842,1.0,0.5,0.5,object_lift_height_cm,lateral_friction,finger_contacts,1.0,0.0,0.97778,0.4736842105263158,0.6680319298245614
A2,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A2_omit_contacts,omit contacts,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.5,1.0,0.5,1.0,0.5,0.5,object_lift_height_cm,lateral_friction,grip_pressure,1.0,0.0,1.0,0.5,0.6666666666666666
A2,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A2_omit_contacts,omit contacts,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0,1.0,0.5,0.0,0.0,1.0,,object_lift_height_cm;lateral_friction,joint_torque;motor_temperature,1.0,0.0,1.0,0.5,0.5
A2,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A2_omit_contacts,omit contacts,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0,1.0,0,0.0,0.0,1.0,,object_lift_height_cm;lateral_friction,vacuum_level;ambient_temperature,1.0,0.0,0.0,1.0,0.3333333333333333
A3,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A3_omit_height,omit height,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.8461309523809524,1.0,1.0,0.89375,0.9523809523809523,0.04761904761904767,finger_contacts;lateral_friction,,object_lift_height_cm,1.0,0.0,1.0,0.0,0.9487103174603174
A3,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A3_omit_height,omit height,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.5,1.0,1.0,1.0,0.5,0.5,finger_contacts,lateral_friction,object_lift_height_cm,1.0,0.0,1.0,0.0,0.8333333333333334
